,Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_Bonus
0,2019-12-28,20,23,39,59,60,18
1,2019-12-25,02,04,16,30,46,20
2,2019-12-21,19,31,35,50,67,14
3,2019-12-18,14,18,26,39,68,09
4,2019-12-14,03,06,12,32,64,19
5,2019-12-11,24,29,42,44,63,10
6,2019-12-07,18,42,53,62,66,25
7,2019-12-04,08,27,44,51,61,14
8,2019-11-30,15,35,42,63,68,18
9,2019-11-27,15,26,37,53,55,21
10,2019-11-23,28,35,38,61,66,23
11,2019-11-20,07,15,39,40,57,12
12,2019-11-16,14,22,26,55,63,26
13,2019-11-13,23,26,27,28,66,11
14,2019-11-09,14,17,35,38,60,25
15,2019-11-06,15,28,46,62,64,17
16,2019-11-02,03,23,32,37,58,22
17,2019-10-30,19,22,52,56,67,21
18,2019-10-26,03,20,48,54,59,04
19,2019-10-23,05,12,50,61,69,23
20,2019-10-19,14,27,29,59,65,12
21,2019-10-16,01,05,25,63,67,03
22,2019-10-12,12,29,34,53,65,23
23,2019-10-09,05,18,33,43,65,02
24,2019-10-05,06,14,36,51,54,04
25,2019-10-02,04,08,10,43,53,07
26,2019-09-28,15,23,34,51,55,04
27,2019-09-25,37,43,44,45,53,25
28,2019-09-21,01,09,22,36,68,22
29,2019-09-18,14,19,39,47,51,15
30,2019-09-14,11,27,31,36,67,11
31,2019-09-11,06,17,24,53,57,03
32,2019-09-07,11,20,41,42,56,06
33,2019-09-04,04,08,30,52,59,02
34,2019-08-31,14,41,50,56,57,18
35,2019-08-28,09,32,37,41,56,14
36,2019-08-24,05,12,20,21,47,01
37,2019-08-21,12,21,22,29,32,21
38,2019-08-17,18,21,24,30,60,20
39,2019-08-14,10,13,30,51,69,10
40,2019-08-10,35,41,44,58,59,03
41,2019-08-07,08,32,47,53,59,03
42,2019-08-03,03,06,45,66,68,13
43,2019-07-31,14,37,47,55,67,06
44,2019-07-27,01,19,31,48,61,06
45,2019-07-24,22,29,35,53,56,13
46,2019-07-20,05,26,36,64,69,19
47,2019-07-17,19,43,47,60,68,10
48,2019-07-13,13,23,32,35,68,21
49,2019-07-10,07,09,26,44,68,03
50,2019-07-06,04,08,23,46,65,01
51,2019-07-03,40,43,45,50,61,25
52,2019-06-29,13,17,24,59,62,08
53,2019-06-26,01,05,16,22,54,24
54,2019-06-22,03,06,11,14,66,21
55,2019-06-19,04,18,21,26,38,01
56,2019-06-15,08,11,14,16,49,14
57,2019-06-12,05,35,38,42,57,13
58,2019-06-08,09,13,42,48,60,18
59,2019-06-05,17,23,28,34,38,08
60,2019-06-01,06,15,34,45,52,08
61,2019-05-29,03,32,34,42,61,07
62,2019-05-25,01,02,39,43,66,02
63,2019-05-22,07,10,20,44,57,03
64,2019-05-18,02,10,25,66,67,26
65,2019-05-15,07,17,33,61,68,04
66,2019-05-11,06,08,09,37,40,26
67,2019-05-08,01,45,53,64,66,03
68,2019-05-04,06,16,23,30,61,02
69,2019-05-01,05,23,28,56,66,17
70,2019-04-27,02,29,41,45,62,06
71,2019-04-24,06,32,35,36,65,04
72,2019-04-20,03,27,30,63,65,01
73,2019-04-17,01,15,17,46,66,15
74,2019-04-13,04,17,26,32,49,10
75,2019-04-10,12,21,23,39,67,06
76,2019-04-06,15,33,43,59,60,08
77,2019-04-03,16,19,25,32,49,18
78,2019-03-30,21,52,54,64,68,04
79,2019-03-27,16,20,37,44,62,12
80,2019-03-23,24,25,52,60,66,05
81,2019-03-20,10,14,50,53,63,21
82,2019-03-16,30,34,39,53,67,11
83,2019-03-13,18,36,45,47,69,14
84,2019-03-09,05,06,45,55,59,14
85,2019-03-06,06,10,21,35,46,23
86,2019-03-02,01,19,25,27,68,21
87,2019-02-27,21,31,42,49,59,23
88,2019-02-23,04,06,14,20,32,13
89,2019-02-20,27,49,50,51,52,02
90,2019-02-16,29,30,41,48,64,01
91,2019-02-13,02,08,14,24,69,26
92,2019-02-09,01,02,03,07,39,25
93,2019-02-06,05,13,28,38,63,21
94,2019-02-02,10,17,18,43,65,13
95,2019-01-30,02,12,16,29,54,06
96,2019-01-26,08,12,20,21,32,10
97,2019-01-23,23,25,47,48,50,24
98,2019-01-19,05,08,41,65,66,20
99,2019-01-16,14,29,31,56,61,01
100,2019-01-12,07,36,48,57,58,24
101,2019-01-09,06,19,37,49,59,22
102,2019-01-05,03,07,15,27,69,19
103,2019-01-02,08,12,42,46,56,12
104,2020-12-30,03,43,45,61,65,14
105,2020-12-26,10,24,27,35,53,18
106,2020-12-23,06,13,38,39,53,06
107,2020-12-19,27,32,34,43,52,13
108,2020-12-16,04,23,37,61,67,07
109,2020-12-12,17,54,56,63,69,20
110,2020-12-09,11,14,31,47,48,04
111,2020-12-05,03,04,06,48,53,10
112,2020-12-02,28,31,40,41,46,04
113,2020-11-28,08,12,18,44,51,18
114,2020-11-25,02,57,58,60,65,26
115,2020-11-21,51,54,57,60,69,11
116,2020-11-18,04,05,17,43,52,05
117,2020-11-14,07,15,18,32,45,20
118,2020-11-11,13,15,17,45,63,13
119,2020-11-07,14,16,37,48,58,18
120,2020-11-04,23,32,33,45,49,14
121,2020-10-31,02,06,40,42,55,24
122,2020-10-28,11,28,37,40,53,13
123,2020-10-24,18,20,27,45,65,06
124,2020-10-21,01,03,13,44,56,26
125,2020-10-17,06,10,31,37,44,23
126,2020-10-14,21,37,52,53,58,05
127,2020-10-10,05,18,23,40,50,18
128,2020-10-07,06,24,30,53,56,19
129,2020-10-03,18,31,36,43,47,20
130,2020-09-30,14,18,36,49,67,18
131,2020-09-26,11,21,27,36,62,24
132,2020-09-23,08,17,49,52,59,01
133,2020-09-19,11,14,23,47,57,14
134,2020-09-16,10,17,31,51,53,01
135,2020-09-12,16,17,20,53,67,04
136,2020-09-09,27,52,55,60,64,21
137,2020-09-05,15,21,22,27,47,07
138,2020-09-02,01,04,11,20,69,18
139,2020-08-29,05,21,22,29,43,10
140,2020-08-26,08,12,19,47,58,02
141,2020-08-22,19,30,36,42,66,14
142,2020-08-19,13,23,47,55,58,23
143,2020-08-15,05,12,34,45,56,03
144,2020-08-12,02,06,18,36,37,21
145,2020-08-08,02,03,14,40,51,24
146,2020-08-05,07,14,17,57,65,24
147,2020-08-01,06,25,36,43,48,24
148,2020-07-29,07,29,35,40,45,26
149,2020-07-25,05,21,36,61,62,18
150,2020-07-22,16,25,36,44,55,14
151,2020-07-18,13,16,32,58,59,09
152,2020-07-15,27,47,61,62,69,04
153,2020-07-11,14,19,61,62,64,04
154,2020-07-08,03,10,34,36,62,05
155,2020-07-04,16,21,27,60,61,06
156,2020-07-01,15,28,52,53,63,18
157,2020-06-27,09,36,49,56,62,08
158,2020-06-24,15,22,27,33,46,23
159,2020-06-20,10,31,41,63,67,05
160,2020-06-17,07,10,63,64,68,10
161,2020-06-13,02,12,32,50,65,05
162,2020-06-10,10,33,41,52,54,18
163,2020-06-06,01,17,38,68,69,18
164,2020-06-03,01,03,26,41,64,17
165,2020-05-30,13,32,41,58,60,14
166,2020-05-27,38,58,59,64,68,21
